# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
260293       1   46961364   47050751      1       1  308     -0.82822   -1.1102e-16     -0.82822
199974       1   47067448   47118320      1       1  319       2.6349             0       2.6349
6491         1   47250139   47314781      1       1  323     -0.93391   -1.1102e-16     -0.93391
51727        1   47333797   47378839      1       1  323       1.1699   -2.2204e-16       1.1699
388630       1   47760528   47997371      1       1  323      0.86161   -1.1102e-16      0.86161
84871        1   48532834   50023954      1       1  320      -2.2155             0      -2.2155
7804         1   53242364   53328149      1       1  322     -0.72261   -1.1102e-16     -0.72261
606495       1   54172336   54200073      1       1  323      0.79858   -1.1102e-16      0.79858
26027        1   54548134   54634744      1       1  323     -0.46415   -1.1102e-16     -0.46415
7268         1   54715822   54742657      1       1  323        1.134   -2.2204e-16        1.134
255738       1   55039476   55064853      2       1  322      -1.9229   -2.2204e-16      -1.9229
23358        1   55066359   55215368      3       2  322      -1.1567   -2.2204e-16      -1.1567
8613         1   56494747   56579584      1       1  319      0.14938   -1.3878e-16      0.14938
731          1   56854770   56918221      2       1  322     -0.96782   -1.1102e-16     -0.96782
1600         1   56997906   58250539      5       3  322      0.80118   -1.1102e-16      0.80118
114803       1   58654739   58700092      1       1  322     -0.10332    -1.249e-16     -0.10332
55277        1   59296405   59762730      1       1  323      0.89171   -1.1102e-16      0.89171
127795       1   59990394   60073770      1       1  323     -0.40817   -1.1102e-16     -0.40817
4774         1   61077257   61462788      1       1  321       2.9799             0       2.9799
85440        1   62454726   62688368      3       2  320     -0.10781    -1.249e-16     -0.10781
27329        1   62597487   62606305      1       1  321     -0.82625   -1.1102e-16     -0.82625
84455        1   63523301   63585365      1       1  323      -1.5495   -2.2204e-16      -1.5495
5236         1   63593276   63660245      1       1  322     -0.44512   -1.1102e-16     -0.44512
4919         1   63774019   64181498      3       2  318      -0.4957   -1.1102e-16      -0.4957
148581       1   64186828   64267368      1       1  320       1.2231   -2.2204e-16       1.2231
57685        1   64470793   64693058      1       1  322      -1.9495   -2.2204e-16      -1.9495
3716         1   64833223   64966910      2       1  322      -1.4291   -2.2204e-16      -1.4291
3953         1   65420652   65637493      1       1  322     -0.33785   -1.1102e-16     -0.33785
5142         1   65792510   66374579      1       1  322      -2.1768             0      -2.1768
400757       1   67092176   67141645      1       1  322     -0.69762   -1.1102e-16     -0.69762
1647         1   67685177   67688338      1       1  322        0.183   -1.3878e-16        0.183
55970        1   67701466   67833779      1       1  322       1.1285   -2.2204e-16       1.1285
9077         1   68045962   68051733      1       1  322      0.42507   -1.1102e-16      0.42507
57554        1   69568773   70148192      2       1  322       -1.704   -2.2204e-16       -1.704
5733         1   70852353   71047814      3       2  323     -0.47624   -1.1102e-16     -0.47624
257194       1   71402942   72282847      1       1  323     -0.94482   -1.1102e-16     -0.94482
127255       1   74026015   74198201      1       1  323      0.88602   -1.1102e-16      0.88602
100526835    1   74198212   74544432      1       1  320      0.90339   -1.1102e-16      0.90339
204962       1   75202131   75724322      1       1  316      0.84844   -1.1102e-16      0.84844
256435       1   76074704   76634601      2       1  321       -0.654   -1.1102e-16       -0.654
81849        1   76867441   77069167      2       1  323     0.093293    -1.249e-16     0.093293
10026        1   77088981   77219447      1       1  323      -1.0571   -2.2204e-16      -1.0571
26289        1   77281977   77559969      2       1  321      0.53377   -1.1102e-16      0.53377
26009        1   77561521   77683426      1       1  320     -0.32893   -1.1102e-16     -0.32893
23032        1   77695987   77759879      1       1  323     -0.69281   -1.1102e-16     -0.69281
374986       1   77779622   77879540      1       1  320     -0.58096   -1.1102e-16     -0.58096
8880         1   77944055   77979205      1       1  322      -0.3616   -1.1102e-16      -0.3616
10964        1   78620382   78646145      1       1  322     -0.43812   -1.1102e-16     -0.43812
23266        1   81306199   81992738      1       1  323     -0.36057   -1.1102e-16     -0.36057
5567         1   84077975   84238498      1       1  313      -1.6979   -2.2204e-16      -1.6979
255231       1   84925583   84997122      1       1  323      -1.3198   -2.2204e-16      -1.3198
55283        1   85018082   85048902      1       1  322      0.56054   -1.1102e-16      0.56054
255631       1   85729233   86156791      2       1  318      -1.3449   -2.2204e-16      -1.3449
9653         1   86914652   87109998      2       1  323     -0.31087   -1.1102e-16     -0.31087
84230        1   89615873   89719535      1       1  321      0.82456   -1.1102e-16      0.82456
55144        1   89821014   89936432      1       1  322     0.013643    -1.301e-16     0.013643
23285        1   92167052   92184723      1       1  322      0.59508   -1.1102e-16      0.59508
11146        1   92246398   92441946      3       2  323     -0.81705   -1.1102e-16     -0.81705
79871        1   92298965   92388175      2       1  323      -1.5096   -2.2204e-16      -1.5096
1806         1   97077743   97921059      1       1  318     -0.23221   -1.3878e-16     -0.23221
163786       1  100083544  100133095      1       1  323      0.12081    -1.249e-16      0.12081
8634         1  100266158  100292769      1       1  323      0.62948   -1.1102e-16      0.62948
118427       1  101802567  101997234      2       1  322      0.48272   -1.1102e-16      0.48272
1301         1  102876467  103108576      1       1  322       2.5748             0       2.5748
22854        1  107139918  107484899      3       2  322      -1.6665   -2.2204e-16      -1.6665
284611       1  108560349  108639327      1       1  323      0.68465   -1.1102e-16      0.68465
6272         1  109309565  109397941      1       1  317       0.7612   -1.1102e-16       0.7612
3749         1  110210714  110282617      1       1  319     -0.71381   -1.1102e-16     -0.71381
10390        1  111139627  111185102      1       1  322       1.1812   -2.2204e-16       1.1812
27159        1  111290852  111320566      2       1  321      0.54081   -1.1102e-16      0.54081
11218        1  111755568  111767577      1       1  322      -1.9131   -2.2204e-16      -1.9131
3752         1  111775822  111989576      5       3  322    -0.033216   -1.3184e-16    -0.033216
6847         1  114854416  114995370      1       1  322      0.18066   -1.3878e-16      0.18066
81839        1  115641953  115698224      1       1  322     -0.25177   -1.1102e-16     -0.25177
55356        1  115976498  116070054      1       1  322      0.56063   -1.1102e-16      0.56063
200162       1  117953665  118185225      3       2  322       1.1909   -2.2204e-16       1.1909
6913         1  118883043  118989556      1       1  321       2.0495             0       2.0495
4853         1  119911553  120069703      1       1  322      -1.6621   -2.2204e-16      -1.6621
728841       1  120416595  120467844      1       1  321      0.78507   -1.1102e-16      0.78507
728833       1  145093798  145112692      1       1  323      0.19147   -1.3878e-16      0.19147
105373468    1  146938328  146960004      1       1  323      -1.3792   -2.2204e-16      -1.3792
149013       1  146938545  146996093      1       1  323      -1.3792   -2.2204e-16      -1.3792
9557         1  147242641  147295766      1       1  323      -1.9121   -2.2204e-16      -1.9121
9900         1  149903318  149917882      1       1  322      0.85207   -1.1102e-16      0.85207
55204        1  150646225  150697956      1       1  321      0.46143   -1.1102e-16      0.46143
1520         1  150730196  150765957      1       1  323      0.96273   -1.1102e-16      0.96273
57592        1  151281555  151291905      1       1  320     -0.56844   -1.1102e-16     -0.56844
6097         1  151806071  151832238      1       1  323      -1.2495   -2.2204e-16      -1.2495
9898         1  154219951  154271510      1       1  313      0.80598   -1.1102e-16      0.80598
3570         1  154405193  154469450      1       1  322      -1.3776   -2.2204e-16      -1.3776
1141         1  154567781  154579878      1       1  323     -0.65729   -1.1102e-16     -0.65729
127579       1  155017448  155033781      1       1  321     -0.87758   -1.1102e-16     -0.87758
8751         1  155051272  155062776      1       1  312      0.60136   -1.1102e-16      0.60136
9181         1  155946640  156002635      1       1  321      -1.6919   -2.2204e-16      -1.6919
4000         1  156082546  156140089      1       1  315     -0.34474   -1.1102e-16     -0.34474
9673         1  156193932  156212796      1       1  323     -0.37154   -1.1102e-16     -0.37154
10485        1  156404256  156434325      1       1  322     0.078724    -1.249e-16     0.078724
128239       1  156525405  156572604      1       1  321      0.44293   -1.1102e-16      0.44293
115350       1  157792249  157820150      1       1  321    -0.028631   -1.3184e-16    -0.028631
55243        1  157993273  158100262      1       1  323     -0.52678   -1.1102e-16     -0.52678
6708         1  158610498  158686716      2       1  321      -1.6794   -2.2204e-16      -1.6794
284677       1  159834474  159855347      1       1  320       0.9087   -1.1102e-16       0.9087
4807         1  160286369  160372848      1       1  323     -0.65415   -1.1102e-16     -0.65415
23385        1  160343273  160358952      1       1  323     -0.65415   -1.1102e-16     -0.65415
6504         1  160608111  160647537      1       1  322     -0.29338   -1.1102e-16     -0.29338
6391         1  161314376  161364751      1       1  318      0.71577   -1.1102e-16      0.71577
9722         1  162069791  162370023      3       2  321     -0.40715   -1.1102e-16     -0.40715
6675         1  162561506  162599843      1       1  323       1.0681   -2.2204e-16       1.0681
4921         1  162631265  162786591      1       1  322        2.071             0        2.071
51478        1  162790702  162812818      1       1  307      -1.5081   -2.2204e-16      -1.5081
5087         1  164559360  164886047      1       1  323      -1.3016   -2.2204e-16      -1.3016
149297       1  166057426  166166755      1       1  323     -0.36415   -1.1102e-16     -0.36415
55827        1  167936559  168075843      1       1  321       1.4467   -2.2204e-16       1.4467
29922        1  169131998  169367963      1       1  322      -1.0093   -2.2204e-16      -1.0093
57821        1  169394870  169460669      1       1  321       2.0612             0       2.0612
6402         1  169690665  169711702      1       1  321      -1.3242   -2.2204e-16      -1.3242
55732        1  169795005  169853088      3       2  321      -1.4463   -2.2204e-16      -1.4463
22920        1  169921329  170074741      1       1  322    -0.031868   -1.3184e-16    -0.031868
23215        1  171485513  171593511      1       1  322     0.031577   -1.3184e-16     0.031577
8674         1  171700156  171742239      1       1  320     -0.87361   -1.1102e-16     -0.87361
26052        1  171841478  172418466      3       2  322       0.4433   -1.1102e-16       0.4433
284525       1  173500465  173603094      1       1  321     -0.99562   -1.1102e-16     -0.99562
63923        1  175067858  175148066      2       1  323      -1.0581   -2.2204e-16      -1.0581
7143         1  175322799  175743702      2       1  323     -0.64194   -1.1102e-16     -0.64194
89866        1  177929107  177969915      1       1  317      0.32793   -1.1102e-16      0.32793
9462         1  178093729  178479514      1       1  321      -1.8381   -2.2204e-16      -1.8381
27           1  179099327  179229693      1       1  317     -0.79009   -1.1102e-16     -0.79009
6646         1  179293714  179358680      2       1  322      -1.6776   -2.2204e-16      -1.6776
126859       1  179365718  179554735      2       1  316      -1.1539   -2.2204e-16      -1.1539
7827         1  179550539  179575976      1       1  323     -0.36655   -1.1102e-16     -0.36655
163589       1  179591613  179691272      2       1  321    -0.078462    -1.249e-16    -0.078462
84320        1  180287385  180502967      1       1  322     -0.60573   -1.1102e-16     -0.60573
23057        1  183248237  183418499      1       1  322     -0.57879   -1.1102e-16     -0.57879
81563        1  184387016  184629021      1       1  321      0.76316   -1.1102e-16      0.76316
116496       1  184791025  184975138      1       1  321     -0.68469   -1.1102e-16     -0.68469
83872        1  185734381  186190953      4       2  322      -1.1402   -2.2204e-16      -1.1402
5321         1  186828900  186988981      1       1  323     -0.34316   -1.1102e-16     -0.34316
339479       1  190097662  190478404      5       3  320      -1.6002   -2.2204e-16      -1.6002
3075         1  196651878  196747504      1       1  318      -2.4113             0      -2.4113
163486       1  197504748  197782175      1       1  322      -1.2808   -2.2204e-16      -1.2808
140609       1  198156978  198322420      1       1  323       0.9441   -1.1102e-16       0.9441
2494         1  200027602  200177424      1       1  320      0.17231   -1.3878e-16      0.17231
23271        1  200739558  200860707      1       1  319     -0.26894   -1.1102e-16     -0.26894
55765        1  200891074  200915736      1       1  320       1.6775   -2.2204e-16       1.6775
23046        1  200969386  201023700      1       1  321    -0.082419    -1.249e-16    -0.082419
89796        1  201539102  201826974      1       1  322      -1.5288   -2.2204e-16      -1.5288
55705        1  201829160  201884294      1       1  319      0.73457   -1.1102e-16      0.73457
493          1  203626787  203744081      1       1  322      0.34413   -1.1102e-16      0.34413
5972         1  204154816  204166337      1       1  310     -0.46738   -1.1102e-16     -0.46738
10446        1  204617170  204685733      1       1  323     -0.33324   -1.1102e-16     -0.33324
23114        1  204828654  205022822      1       1  321       0.8559   -1.1102e-16       0.8559
23380        1  206203464  206464443      1       1  320   -0.0031957   -1.3097e-16   -0.0031957
29949        1  206798870  206842981      1       1  323      -1.1412   -2.2204e-16      -1.1412
5284         1  206928522  206946466      1       1  323     -0.76285   -1.1102e-16     -0.76285
1378         1  207496128  207641765      1       1  317      -1.1904   -2.2204e-16      -1.1904
4179         1  207752038  207795516      1       1  323      0.39492   -1.1102e-16      0.39492
5362         1  208022242  208244384      2       1  321     -0.96345   -1.1102e-16     -0.96345
255928       1  209938174  210164291      1       1  323     -0.77641   -1.1102e-16     -0.77641
55733        1  210328252  210676298      1       1  323      0.58976   -1.1102e-16      0.58976
55758        1  211259366  211316385      1       1  320      -2.2139             0      -2.2139
7188         1  211326579  211374946      1       1  322      -1.5517   -2.2204e-16      -1.5517
343035       1  211476522  211492917      1       1  321      0.18589   -1.3878e-16      0.18589
9926         1  211743457  211830832      1       1  321      -1.0213   -2.2204e-16      -1.0213
25936        1  212726153  212791797      1       1  322      0.40791   -1.1102e-16      0.40791
128387       1  212791828  212816825      1       1  323     -0.66734   -1.1102e-16     -0.66734
149643       1  212830141  212847649      1       1  323       1.1836   -2.2204e-16       1.1836
5784         1  214336942  214551681      2       1  315       2.0516             0       2.0516
7399         1  215622894  216423396      4       2  321        -1.15   -2.2204e-16        -1.15
2104         1  216503246  217137755      2       1  323     -0.76241   -1.1102e-16     -0.76241
55105        1  217426992  217631102      2       1  323     -0.46375   -1.1102e-16     -0.46375
55532        1  219913919  219959315      1       1  318      -1.0726   -2.2204e-16      -1.0726
25782        1  220148268  220272501      1       1  323     -0.43334   -1.1102e-16     -0.43334
375056       1  222618102  222668012      1       1  320     -0.39106   -1.1102e-16     -0.39106
84976        1  222814514  223005995      1       1  323     -0.51722   -1.1102e-16     -0.51722
55061        1  223220819  223364202      1       1  323     -0.70841   -1.1102e-16     -0.70841
55740        1  225486832  225661676      1       1  321      0.85056   -1.1102e-16      0.85056
64746        1  226144679  226186722      2       1  320      -1.0044   -2.2204e-16      -1.0044
286826       1  226231149  226310099      1       1  323      0.42648   -1.1102e-16      0.42648
8476         1  226989858  227318492      2       1  321     -0.40116   -1.1102e-16     -0.40116
7483         1  227918658  227947975      1       1  321      -0.7663   -1.1102e-16      -0.7663
9816         1  229626205  229660887      1       1  322      0.81255   -1.1102e-16      0.81255
2590         1  230057789  230282130      1       1  323     -0.38135   -1.1102e-16     -0.38135
79573        1  230906241  230978872      1       1  322      0.75203   -1.1102e-16      0.75203
8443         1  231241173  231277973      2       1  320      -1.2041   -2.2204e-16      -1.2041
83932        1  231337936  231370551      1       1  323      -1.4048   -2.2204e-16      -1.4048
54583        1  231363751  231425044      2       1  320     -0.74702   -1.1102e-16     -0.74702
27185        1  231626815  232041272      1       1  323     -0.65134   -1.1102e-16     -0.65134
57568        1  232397965  232630696      2       1  320     -0.38741   -1.1102e-16     -0.38741
80003        1  232984101  233295713      1       1  323      -0.9863   -1.1102e-16      -0.9863
148641       1  233904712  234324518      1       1  322      0.56401   -1.1102e-16      0.56401
6894         1  234391313  234479158      1       1  321      -1.8439   -2.2204e-16      -1.8439
1130         1  235661031  235883708      2       1  322       -2.903             0       -2.903
4811         1  235975830  236065181      1       1  323     -0.16633   -1.3878e-16     -0.16633
128178       1  236394380  236484708      1       1  322      -1.7084   -2.2204e-16      -1.7084
6262         1  237042238  237833988      4       2  322      -1.1698   -2.2204e-16      -1.1698
1131         1  239386565  239911462      3       2  319      -2.3916             0      -2.3916
56776        1  240091885  240475189      3       2  322      0.12222    -1.249e-16      0.12222
6000         1  240775514  241357230      1       1  322      0.64519   -1.1102e-16      0.64519
2271         1  241497557  241519785      1       1  322      -1.3294   -2.2204e-16      -1.3294
9156         1  241847967  241909165      1       1  323      0.18113   -1.3878e-16      0.18113
200150       1  242088387  242530544      2       1  320      0.20093   -1.3878e-16      0.20093
9859         1  243124428  243255406      1       1  319      0.14556   -1.3878e-16      0.14556
10000        1  243488233  243851079      2       1  322      -1.8495   -2.2204e-16      -1.8495
257044       1  244452100  244640362      1       1  323       -1.673   -2.2204e-16       -1.673
55083        1  245154985  245709432      4       2  322      -1.2735   -2.2204e-16      -1.2735
64754        1  245749340  246507342      4       2  323       0.8743   -1.1102e-16       0.8743
51097        1  246724076  246768137      1       1  320      -1.4574   -2.2204e-16      -1.4574
25909        1  246839098  246931978      1       1  323     -0.78001   -1.1102e-16     -0.78001
7678         1  247121975  247172438      1       1  323       1.5423   -2.2204e-16       1.5423
114548       1  247415904  247449108      1       1  322      0.79618   -1.1102e-16      0.79618
102724446    1  247565639  247641191      2       1  321    -0.046074   -1.3184e-16    -0.046074
284521       1  247937029  248100922      1       1  319      -1.4712   -2.2204e-16      -1.4712
105379285    1  248445607  248548838      1       1  319      0.21222   -1.3878e-16      0.21222
401992       1  248449062  248548832      1       1  319      0.21222   -1.3878e-16      0.21222
401994       1  248483422  248698899      1       1  319      0.21222   -1.3878e-16      0.21222
55657        1  248850004  248860798      1       1  321      0.40223   -1.1102e-16      0.40223
54221        2     950868    1367645      1       1  323      0.24432   -1.3878e-16      0.24432
7837         2    1631887    1744852      2       1  321      0.43825   -1.1102e-16      0.43825
23040        2    1789113    2331375      1       1  323       2.8181             0       2.8181
7260         2    3188970    3377882      1       1  323      0.63258   -1.1102e-16      0.63258
105373397    2    4096389    4140262      1       1  323       -2.455             0       -2.455
9781         2    6917392    7076197      1       1  323      -0.2388   -1.3878e-16      -0.2388
129642       2    8852690    9003747      1       1  321     -0.61198   -1.1102e-16     -0.61198
8853         2    9206765    9405683      2       1  323      0.64919   -1.1102e-16      0.64919
9014         2    9843442    9934416      1       1  322      0.42102   -1.1102e-16      0.42102
245973       2   10720974   10785110      1       1  317       1.4319   -2.2204e-16       1.4319
23175        2   11677545   11827409      1       1  321      0.89829   -1.1102e-16      0.89829
51594        2   15166908   15561348      3       2  323       2.2308             0       2.2308
7447         2   17540540   17656439      1       1  322      0.15705   -1.3878e-16      0.15705
23369        2   20248692   20352229      1       1  322      0.48175   -1.1102e-16      0.48175
114818       2   23385427   23708613      1       1  321      -1.0748   -2.2204e-16      -1.0748
50618        2   24202866   24360528      1       1  323       1.3322   -2.2204e-16       1.3322
1838         2   25377198   25673647      1       1  323       -1.819   -2.2204e-16       -1.819
55252        2   25733753   25878474      1       1  323       1.2291   -2.2204e-16       1.2291
10890        2   26033860   26137454      1       1  323      -1.9236   -2.2204e-16      -1.9236
150946       2   26173091   26202529      1       1  320       1.3731   -2.2204e-16       1.3731
3032         2   26244748   26290465      1       1  321     -0.59879   -1.1102e-16     -0.59879
57159        2   27282429   27307439      1       1  307       1.1506   -2.2204e-16       1.1506
9577         2   27890615   28338901      1       1  322       3.2073             0       3.2073
245711       2   28810834   28850610      1       1  322      0.31163   -1.1102e-16      0.31163
79745        2   29097676   29183813      1       1  322       1.0599   -2.2204e-16       1.0599
238          2   29192774   29921611      2       1  322      0.12529   -1.3878e-16      0.12529
253558       2   30447226   30644225      1       1  322      -1.6584   -2.2204e-16      -1.6584
79623        2   30910465   31161688      1       1  320      -1.4302   -2.2204e-16      -1.4302
7498         2   31334309   31414749      1       1  321       2.9356             0       2.9356
6716         2   31522488   31700784      2       1  322      -0.7113   -1.1102e-16      -0.7113
4052         2   32947300   33399509      2       1  322      0.46176   -1.1102e-16      0.46176
5212         2   36696690   36814794      1       1  322       2.2738             0       2.2738
6801         2   36837698   36966557      1       1  323       1.0116   -2.2204e-16       1.0116
253635       2   37084451   37099244      1       1  321         1.96   -2.2204e-16         1.96
23683        2   37250502   37324772      1       1  322      -1.6074   -2.2204e-16      -1.6074
151393       2   37920845   38069970      2       1  320       2.3427             0       2.3427
8491         2   39249266   39437312      1       1  321       1.5936   -2.2204e-16       1.5936
6546         2   40112146   40512486      1       1  323       2.9265             0       2.9265
57504        2   42494569   42795030      1       1  321     -0.25957   -1.1102e-16     -0.25957
105374567    2   42808519   42971692      1       1  323   -0.0044912   -1.3097e-16   -0.0044912
51626        2   43774039   43827950      1       1  323      0.78707   -1.1102e-16      0.78707
64240        2   43806155   43838865      1       1  323      0.78707   -1.1102e-16      0.78707
10128        2   43886224   43996005      1       1  318      -1.4112   -2.2204e-16      -1.4112
79823        2   44361904   44772592      2       1  323       3.1618             0       3.1618
55133        2   45388680   45611295      1       1  323       1.6811   -2.2204e-16       1.6811
9655         2   46698960   46762788      1       1  322       1.1029   -2.2204e-16       1.1029
57217        2   46916129   47076136      1       1  319    -0.019303   -1.3184e-16    -0.019303
285051       2   47086991   47155378      1       1  320       1.7948   -2.2204e-16       1.7948
4072         2   47369148   47387028      1       1  323      -1.7801   -2.2204e-16      -1.7801
80204        2   47806920   47906535      1       1  323        3.205             0        3.205
129285       2   48440769   48515392      1       1  320        2.858             0        2.858
286749       2   48529925   48776517      1       1  321       1.0547   -2.2204e-16       1.0547
3973         2   48686774   48755741      1       1  321       1.0547   -2.2204e-16       1.0547
2492         2   48866435   49154527      1       1  323     -0.17916   -1.3878e-16     -0.17916
9378         2   49918505   51032536      6       4  320      0.64072   -1.1102e-16      0.64072
6711         2   54456317   54671446      2       1  320     -0.56576   -1.1102e-16     -0.56576
55704        2   55287842   55419921      1       1  321      0.68222   -1.1102e-16      0.68222
114800       2   56184123   56386174      1       1  321       1.4883   -2.2204e-16       1.4883
150962       2   60938352   61020031      1       1  322      -0.3074   -1.1102e-16      -0.3074
9736         2   61187455   61470714      3       2  323      -1.0115   -2.2204e-16      -1.0115
51057        2   63120762   63840825      3       2  323      -1.0871   -2.2204e-16      -1.0871
4190         2   63588609   63607197      1       1  323     0.088303    -1.249e-16     0.088303
54465        2   67397310   67410413      1       1  323       1.0752   -2.2204e-16       1.0752
200558       2   68467559   68580162      1       1  320       1.3511   -2.2204e-16       1.3511
51449        2   70258099   70281185      1       1  323      0.50698   -1.1102e-16      0.50698
7039         2   70447280   70554015      1       1  321       1.3602   -2.2204e-16       1.3602
165530       2   70808643   70823764      1       1  323     -0.16755   -1.3878e-16     -0.16755
50489        2   70825208   70836601      1       1  321       0.8417   -1.1102e-16       0.8417
23233        2   72175984   72826048      4       2  322       1.1455   -2.2204e-16       1.1455
10322        2   73214238   73227227      1       1  322       3.4473             0       3.4473
55233        2   74154409   74178886      1       1  322      -3.0048             0      -3.0048
84141        2   75492318   75569722      1       1  321      0.33557   -1.1102e-16      0.33557
