GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
55144        1   89821014   89936432      1       1  322      0.34901      0.36354
23285        1   92167052   92184723      1       1  322       0.8246       0.2048
11146        1   92246398   92441946      3       2  323     -0.37919      0.64772
79871        1   92298965   92388175      2       1  323      -1.1017      0.86471
1806         1   97077743   97921059      1       1  318     -0.04373      0.51744
163786       1  100083544  100133095      1       1  323      0.39008      0.34824
8634         1  100266158  100292769      1       1  323      0.90324       0.1832
118427       1  101802567  101997234      2       1  322      0.87215      0.19156
1301         1  102876467  103108576      1       1  322       2.8413    0.0022468
22854        1  107139918  107484899      3       2  322      -1.2458      0.89359
284611       1  108560349  108639327      1       1  323      0.95904      0.16877
6272         1  109309565  109397941      1       1  317      0.95274      0.17036
3749         1  110210714  110282617      1       1  319     -0.51636       0.6972
10390        1  111139627  111185102      1       1  322       1.4328     0.075956
27159        1  111290852  111320566      2       1  321      0.89469      0.18548
11218        1  111755568  111767577      1       1  322        -1.66      0.95154
3752         1  111775822  111989576      5       3  322      0.63821      0.26167
6847         1  114854416  114995370      1       1  322      0.42994      0.33362
81839        1  115641953  115698224      1       1  322    -0.010528       0.5042
55356        1  115976498  116070054      1       1  322      0.79042      0.21464
200162       1  117953665  118185225      3       2  322       1.5952      0.05533
6913         1  118883043  118989556      1       1  321       2.2607     0.011888
4853         1  119911553  120069703      1       1  322      -1.4106      0.92082
728841       1  120416595  120467844      1       1  321       1.0089      0.15651
728833       1  145093798  145112692      1       1  323      0.47019      0.31911
105373468    1  146938328  146960004      1       1  323      -1.1067      0.86579
149013       1  146938545  146996093      1       1  323      -1.1067      0.86579
9557         1  147242641  147295766      1       1  323      -1.6464      0.95016
9900         1  149903318  149917882      1       1  322       1.0962       0.1365
55204        1  150646225  150697956      1       1  321      0.69219      0.24441
1520         1  150730196  150765957      1       1  323       1.2357      0.10829
57592        1  151281555  151291905      1       1  320     -0.34789      0.63604
6097         1  151806071  151832238      1       1  323     -0.98643      0.83804
9898         1  154219951  154271510      1       1  313       1.0738      0.14146
3570         1  154405193  154469450      1       1  322      -1.1362      0.87207
1141         1  154567781  154579878      1       1  323     -0.39108      0.65213
127579       1  155017448  155033781      1       1  321     -0.64974      0.74207
8751         1  155051272  155062776      1       1  312      0.89539      0.18529
9181         1  155946640  156002635      1       1  321       -1.481       0.9307
4000         1  156082546  156140089      1       1  315      -0.1139      0.54534
9673         1  156193932  156212796      1       1  323     -0.10883      0.54333
10485        1  156404256  156434325      1       1  322      0.31213      0.37747
128239       1  156525405  156572604      1       1  321      0.67307      0.25045
115350       1  157792249  157820150      1       1  321      0.18249       0.4276
55243        1  157993273  158100262      1       1  323     -0.27088      0.60676
6708         1  158610498  158686716      2       1  321      -1.3263      0.90762
284677       1  159834474  159855347      1       1  320        1.106      0.13437
4807         1  160286369  160372848      1       1  323     -0.39989      0.65538
23385        1  160343273  160358952      1       1  323     -0.39989      0.65538
6504         1  160608111  160647537      1       1  322    -0.060195        0.524
6391         1  161314376  161364751      1       1  318      0.93537       0.1748
9722         1  162069791  162370023      3       2  321    -0.024867      0.50992
6675         1  162561506  162599843      1       1  323        1.338     0.090442
4921         1  162631265  162786591      1       1  322       2.3018     0.010673
51478        1  162790702  162812818      1       1  307      -1.2125      0.88734
5087         1  164559360  164886047      1       1  323      -1.0301      0.84852
149297       1  166057426  166166755      1       1  323    -0.097512      0.53884
55827        1  167936559  168075843      1       1  321       1.6613     0.048325
29922        1  169131998  169367963      1       1  322     -0.75718      0.77553
57821        1  169394870  169460669      1       1  321       2.2772     0.011388
6402         1  169690665  169711702      1       1  321      -1.0328      0.84916
55732        1  169795005  169853088      3       2  321      -1.0515       0.8535
22920        1  169921329  170074741      1       1  322      0.20893      0.41725
23215        1  171485513  171593511      1       1  322      0.26966      0.39371
8674         1  171700156  171742239      1       1  320     -0.65968      0.74527
26052        1  171841478  172418466      3       2  322      0.85399      0.19656
284525       1  173500465  173603094      1       1  321      -0.7624      0.77709
63923        1  175067858  175148066      2       1  323     -0.64769      0.74141
7143         1  175322799  175743702      2       1  323     -0.24426      0.59648
89866        1  177929107  177969915      1       1  317      0.54101      0.29425
9462         1  178093729  178479514      1       1  321      -1.6076      0.94604
27           1  179099327  179229693      1       1  317     -0.57892      0.71868
6646         1  179293714  179358680      2       1  322      -1.3043      0.90394
126859       1  179365718  179554735      2       1  316     -0.80183      0.78867
7827         1  179550539  179575976      1       1  323     -0.09454      0.53766
163589       1  179591613  179691272      2       1  321      0.27238      0.39267
84320        1  180287385  180502967      1       1  322     -0.35982      0.64051
23057        1  183248237  183418499      1       1  322      -0.3322      0.63013
81563        1  184387016  184629021      1       1  321      0.99392      0.16013
116496       1  184791025  184975138      1       1  321     -0.45891      0.67685
83872        1  185734381  186190953      4       2  322     -0.59604      0.72443
5321         1  186828900  186988981      1       1  323    -0.088877      0.53541
339479       1  190097662  190478404      5       3  320     -0.96057      0.83162
3075         1  196651878  196747504      1       1  318      -2.2212      0.98683
163486       1  197504748  197782175      1       1  322      -1.0265      0.84767
140609       1  198156978  198322420      1       1  323       1.2019       0.1147
2494         1  200027602  200177424      1       1  320      0.38718      0.34931
23271        1  200739558  200860707      1       1  319    -0.059819      0.52385
55765        1  200891074  200915736      1       1  320       2.0772     0.018891
23046        1  200969386  201023700      1       1  321      0.12993      0.44831
89796        1  201539102  201826974      1       1  322      -1.2758      0.89898
55705        1  201829160  201884294      1       1  319      0.92332      0.17792
493          1  203626787  203744081      1       1  322      0.58415      0.27956
5972         1  204154816  204166337      1       1  310    -0.071148      0.52836
10446        1  204617170  204685733      1       1  323    -0.076627      0.53054
23114        1  204828654  205022822      1       1  321       1.0851      0.13893
23380        1  206203464  206464443      1       1  320      0.20858      0.41739
29949        1  206798870  206842981      1       1  323     -0.88585      0.81215
5284         1  206928522  206946466      1       1  323       -0.489      0.68758
1378         1  207496128  207641765      1       1  317     -0.99544      0.84024
4179         1  207752038  207795516      1       1  323      0.65163      0.25732
5362         1  208022242  208244384      2       1  321     -0.60257       0.7266
255928       1  209938174  210164291      1       1  323     -0.50517      0.69328
55733        1  210328252  210676298      1       1  323       0.8552      0.19622
55758        1  211259366  211316385      1       1  320      -2.0171      0.97816
7188         1  211326579  211374946      1       1  322      -1.3221      0.90694
343035       1  211476522  211492917      1       1  321      0.41894      0.33763
9926         1  211743457  211830832      1       1  321     -0.75435      0.77468
25936        1  212726153  212791797      1       1  322      0.65076       0.2576
128387       1  212791828  212816825      1       1  323     -0.39487      0.65353
149643       1  212830141  212847649      1       1  323       1.4472     0.073926
5784         1  214336942  214551681      2       1  315        2.408      0.00802
7399         1  215622894  216423396      4       2  321     -0.62013      0.73241
2104         1  216503246  217137755      2       1  323     -0.35002      0.63684
55105        1  217426992  217631102      2       1  323    -0.059103      0.52356
55532        1  219913919  219959315      1       1  318     -0.86857      0.80746
25782        1  220148268  220272501      1       1  323       -0.158      0.56277
375056       1  222618102  222668012      1       1  320     -0.17839      0.57079
84976        1  222814514  223005995      1       1  323     -0.23921      0.59453
55061        1  223220819  223364202      1       1  323     -0.43746      0.66911
55740        1  225486832  225661676      1       1  321       1.0678      0.14281
64746        1  226144679  226186722      2       1  320     -0.64943      0.74197
286826       1  226231149  226310099      1       1  323      0.69356      0.24398
8476         1  226989858  227318492      2       1  321    -0.032506      0.51297
7483         1  227918658  227947975      1       1  321     -0.55572       0.7108
9816         1  229626205  229660887      1       1  322       1.0612       0.1443
2590         1  230057789  230282130      1       1  323     -0.12144      0.54833
79573        1  230906241  230978872      1       1  322      0.99081      0.16089
8443         1  231241173  231277973      2       1  320     -0.85097      0.80261
83932        1  231337936  231370551      1       1  323      -1.1269      0.87011
54583        1  231363751  231425044      2       1  320     -0.39095      0.65208
27185        1  231626815  232041272      1       1  323     -0.38851      0.65118
57568        1  232397965  232630696      2       1  320    -0.038104       0.5152
80003        1  232984101  233295713      1       1  323     -0.60967      0.72896
148641       1  233904712  234324518      1       1  322       0.7963      0.21293
6894         1  234391313  234479158      1       1  321       -1.628      0.94824
1130         1  235661031  235883708      2       1  322      -2.5199      0.99413
4811         1  235975830  236065181      1       1  323     0.088927      0.46457
128178       1  236394380  236484708      1       1  322      -1.4759      0.93002
6262         1  237042238  237833988      4       2  322     -0.62443      0.73383
1131         1  239386565  239911462      3       2  319      -2.0205      0.97833
56776        1  240091885  240475189      3       2  322      0.54145       0.2941
6000         1  240775514  241357230      1       1  322       0.8896      0.18684
2271         1  241497557  241519785      1       1  322       -1.098       0.8639
9156         1  241847967  241909165      1       1  323      0.44852      0.32689
200150       1  242088387  242530544      2       1  320      0.54267      0.29368
9859         1  243124428  243255406      1       1  319      0.33445      0.36902
10000        1  243488233  243851079      2       1  322      -1.4593      0.92777
257044       1  244452100  244640362      1       1  323      -1.4186      0.92199
55083        1  245154985  245709432      4       2  322     -0.72208      0.76488
64754        1  245749340  246507342      4       2  323       1.4462     0.074064
51097        1  246724076  246768137      1       1  320      -1.2403      0.89256
25909        1  246839098  246931978      1       1  323     -0.52475      0.70012
7678         1  247121975  247172438      1       1  323       1.8602     0.031429
114548       1  247415904  247449108      1       1  322       1.0469      0.14758
102724446    1  247565639  247641191      2       1  321      0.30747      0.37924
284521       1  247937029  248100922      1       1  319      -1.2679      0.89758
105379285    1  248445607  248548838      1       1  319      0.40222      0.34376
401992       1  248449062  248548832      1       1  319      0.40222      0.34376
401994       1  248483422  248698899      1       1  319      0.40222      0.34376
55657        1  248850004  248860798      1       1  321      0.61893      0.26798
54221        2     950868    1367645      1       1  323      0.51379       0.3037
7837         2    1631887    1744852      2       1  321      0.79852      0.21228
23040        2    1789113    2331375      1       1  323       3.0895    0.0010025
7260         2    3188970    3377882      1       1  323      0.90324       0.1832
105373397    2    4096389    4140262      1       1  323      -2.1939      0.98588
9781         2    6917392    7076197      1       1  323     0.025069         0.49
129642       2    8852690    9003747      1       1  321     -0.39186      0.65242
8853         2    9206765    9405683      2       1  323       1.0469      0.14757
9014         2    9843442    9934416      1       1  322      0.67238      0.25067
245973       2   10720974   10785110      1       1  317       1.6267     0.051899
23175        2   11677545   11827409      1       1  321       1.1315      0.12892
51594        2   15166908   15561348      3       2  323        2.661    0.0038956
7447         2   17540540   17656439      1       1  322      0.39525      0.34633
23369        2   20248692   20352229      1       1  322      0.73218      0.23203
114818       2   23385427   23708613      1       1  321     -0.85397      0.80344
50618        2   24202866   24360528      1       1  323       1.6081     0.053909
1838         2   25377198   25673647      1       1  323      -1.5601      0.94063
55252        2   25733753   25878474      1       1  323       1.4842     0.068872
10890        2   26033860   26137454      1       1  323      -1.6461      0.95013
150946       2   26173091   26202529      1       1  320       1.5726     0.057903
3032         2   26244748   26290465      1       1  321     -0.37777       0.6472
57159        2   27282429   27307439      1       1  307       1.4527     0.073159
9577         2   27890615   28338901      1       1  322       3.4377   0.00029329
245711       2   28810834   28850610      1       1  322      0.71017       0.2388
79745        2   29097676   29183813      1       1  322       1.3056     0.095841
238          2   29192774   29921611      2       1  322      0.49521      0.31023
253558       2   30447226   30644225      1       1  322      -1.4287      0.92345
79623        2   30910465   31161688      1       1  320      -1.2282      0.89031
7498         2   31334309   31414749      1       1  321       3.1525   0.00080936
6716         2   31522488   31700784      2       1  322     -0.32435      0.62716
4052         2   32947300   33399509      2       1  322      0.84635      0.19868
5212         2   36696690   36814794      1       1  322       2.5034    0.0061498
6801         2   36837698   36966557      1       1  323       1.2754      0.10108
253635       2   37084451   37099244      1       1  321       2.1849     0.014448
23683        2   37250502   37324772      1       1  322      -1.3748      0.91541
151393       2   37920845   38069970      2       1  320        2.701    0.0034562
8491         2   39249266   39437312      1       1  321       1.8273     0.033831
6546         2   40112146   40512486      1       1  323       3.1866   0.00071966
57504        2   42494569   42795030      1       1  321    -0.039339      0.51569
105374567    2   42808519   42971692      1       1  323      0.26353      0.39607
51626        2   43774039   43827950      1       1  323       1.0423      0.14863
64240        2   43806155   43838865      1       1  323       1.0423      0.14863
10128        2   43886224   43996005      1       1  318      -1.2113      0.88711
79823        2   44361904   44772592      2       1  323       3.5666   0.00018079
55133        2   45388680   45611295      1       1  323       1.9587     0.025073
9655         2   46698960   46762788      1       1  322       1.3562     0.087517
57217        2   46916129   47076136      1       1  319      0.17098      0.43212
285051       2   47086991   47155378      1       1  320       1.9982     0.022848
4072         2   47369148   47387028      1       1  323      -1.5171      0.93538
80204        2   47806920   47906535      1       1  323       3.6723   0.00012017
129285       2   48440769   48515392      1       1  320       3.0704    0.0010688
286749       2   48529925   48776517      1       1  321       1.2757      0.10103
3973         2   48686774   48755741      1       1  321       1.2757      0.10103
2492         2   48866435   49154527      1       1  323     0.097461      0.46118
9378         2   49918505   51032536      6       4  320       1.4473     0.073902
6711         2   54456317   54671446      2       1  320     -0.22168      0.58772
55704        2   55287842   55419921      1       1  321      0.91624      0.17977
114800       2   56184123   56386174      1       1  321       1.7127     0.043386
150962       2   60938352   61020031      1       1  322     -0.05663      0.52258
9736         2   61187455   61470714      3       2  323     -0.57683      0.71797
51057        2   63120762   63840825      3       2  323      -0.6591      0.74508
4190         2   63588609   63607197      1       1  323      0.34856      0.36371
54465        2   67397310   67410413      1       1  323       1.3335     0.091184
200558       2   68467559   68580162      1       1  320       1.5619     0.059155
51449        2   70258099   70281185      1       1  323       0.7625      0.22288
7039         2   70447280   70554015      1       1  321       1.5902     0.055898
165530       2   70808643   70823764      1       1  323     0.094591      0.46232
50489        2   70825208   70836601      1       1  321        1.067      0.14299
23233        2   72175984   72826048      4       2  322       1.6969     0.044854
10322        2   73214238   73227227      1       1  322       3.6794   0.00011689
55233        2   74154409   74178886      1       1  322      -2.7738      0.99723
84141        2   75492318   75569722      1       1  321      0.55625      0.28902
6936         2   75662705   75710986      1       1  321        0.612      0.27027
80059        2   76747457   77522376      3       2  321       2.1483     0.015847
1496         2   79512934   80648868      8       5  319       1.9368     0.026385
1768         2   84459540   84819589      1       1  323      0.38756      0.34917
83439        2   85133460   85310388      1       1  323      0.46619      0.32054
51652        2   86503430   86563497      1       1  322      -1.0938      0.86298
100526767    2   86503430   86721122      3       2  322       3.6758   0.00011853
7844         2   86603393   86623877      1       1  321       4.3343     7.31e-06
925          2   86784605   86808396      1       1  323      -1.0138      0.84467
26504        2   96760902   96811891      1       1  321       3.5814   0.00017087
54910        2   96859736   96870943      1       1  322       1.1554      0.12397
51252        2   96875882   96986601      2       1  322     -0.15196      0.56039
57730        2   97492663   97590245      1       1  313     -0.22989      0.59091
7535         2   97713568   97744327      1       1  322     -0.44387      0.67143
200403       2   98087132   98330681      1       1  308       1.3116     0.094822
343990       2   98793846   98936221      1       1  321      0.17271      0.43144
9669         2   99337371   99400265      1       1  323        1.721     0.042626
3899         2   99545864  100142583      2       1  321      -1.3466      0.91095
4862         2  100820151  100996827      2       1  318       1.5045     0.066229
6160         2  101002229  101019693      2       1  322     -0.97844      0.83607
11138        2  101007228  101195326      3       2  322      -0.8732      0.80872
6549         2  102619689  102711350      2       1  323      0.78294      0.21683
130827       2  102736908  102843838      1       1  323      0.11624      0.45373
9392         2  105249404  105329714      1       1  323      0.27257      0.39259
8440         2  105744942  105894274      2       1  322    -0.053746      0.52143
653489       2  106391360  106468345      1       1  309       1.6493     0.049542
285190       2  107826932  107892544      1       1  319    -0.085933      0.53424
84220        2  109760607  109857691      2       1  322       1.7361     0.041276
105373986    2  110041483  110055097      1       1  318      0.13729       0.4454
55289        2  110732539  111120610      3       2  318       1.8174     0.034579
284958       2  112720810  112742879      1       1  319      -1.1084      0.86616
80255        2  113712792  113756823      1       1  323       2.2024     0.013818
57628        2  114442322  115845752      7       4  321       2.1939     0.014122
200373       2  119544423  119660321      1       1  320      0.36614      0.35713
57669        2  120013028  120179121      1       1  322       1.3887     0.082463
129684       2  124025287  124921201      1       1  322      0.85744       0.1956
55339        2  127704234  127811187      3       2  321        -1.06      0.85544
5433         2  127846266  127858155      1       1  323        1.966     0.024648
55041        2  131104735  131149852      1       1  311       1.8538     0.031883
344148       2  132671788  133674923      4       2  321       2.1771     0.014736
4249         2  134119930  134454621      3       2  322       1.1024      0.13515
81615        2  134455759  134736424      1       1  323      0.40549      0.34256
130013       2  134838348  134902076      1       1  323     -0.91735      0.82052
22930        2  135052265  135175584      1       1  321      -1.5253      0.93641
23518        2  135531455  135725270      2       1  322       1.6402     0.050478
1615         2  135905881  135985684      1       1  319      0.30419      0.38049
11249        2  138669157  138780241      1       1  322      -0.6456      0.74073
53353        2  140231427  142132474      4       2  319     -0.35787      0.63978
8942         2  142748928  143042316      2       1  320      0.14123      0.44384
55843        2  143070968  143768352      2       1  323       1.4315     0.076148
9839         2  144384375  144520393      1       1  320      -0.4262      0.66502
55777        2  148021011  148513477      1       1  322      -0.3688      0.64386
55183        2  151409883  151534202      2       1  322     -0.86664      0.80693
4703         2  151485339  151734487      2       1  322     -0.86664      0.80693
785          2  151832771  152099988      3       2  321       -1.056      0.85451
10254        2  152116801  152175992      1       1  317     -0.28203      0.61104
114793       2  152335170  152649834      4       2  321       2.8634    0.0020956
114805       2  153871898  154453977      4       2  321       1.0604      0.14448
3760         2  154698581  154858352      1       1  323        1.932     0.026681
90           2  157736444  157875862      1       1  319        3.015     0.001285
130940       2  158171356  158456824      2       1  322       1.3249     0.092608
92196        2  158795317  158827457      1       1  322      -0.7398      0.77029
85461        2  158968634  159232663      1       1  323      -2.0308      0.97886
29994        2  159315312  159712439      1       1  323      -1.0128      0.84442
22925        2  159932002  160062902      1       1  321       2.8002    0.0025536
3694         2  160099666  160200313      2       1  318       2.4894    0.0063971
5937         2  160272151  160493856      1       1  322       1.9318     0.026692
90134        2  162371407  162838747      1       1  323     -0.53366      0.70321
2888         2  164492406  164621850      1       1  322      -2.1097      0.98256
80034        2  165469647  165689407      2       1  323          1.1      0.13566
6335         2  166195185  166375987      1       1  322    -0.081178      0.53235
129446       2  166888487  167259753      2       1  319       2.5392     0.005556
8708         2  167293061  167870856      5       3  319       2.0565     0.019869
253782       2  168456249  168775134      2       1  321       1.0933      0.13713
57405        2  168865144  168890434      1       1  322       1.0467      0.14761
8647         2  168922802  169034890      1       1  321       2.6136    0.0044798
130507       2  169827470  170084131      2       1  323       2.8707    0.0020478
140469       2  170178145  170655164      5       3  320       2.9571    0.0015526
9874         2  170990823  171231314      1       1  319     -0.53149      0.70246
51776        2  173075837  173268009      1       1  319       2.2442     0.012409
29789        2  174072447  174248637      1       1  322      -2.2347      0.98728
7456         2  174559574  174682899      1       1  322      0.14623      0.44187
1123         2  174799314  175005379      2       1  322     -0.59443      0.72389
8540         2  177392743  177543836      1       1  322      0.10361      0.45874
50940        2  177623249  178108339      2       1  321      0.44175      0.32933
7273         2  178525989  178830754      2       1  323      0.62037      0.26751
285025       2  178829757  179050118      1       1  320      0.81698      0.20697
151126       2  179441982  179862321      3       2  321    -0.048007      0.51914
10477        2  180980385  181063427      2       1  322       1.2155      0.11208
3676         2  181456892  181537747      1       1  322     -0.58159      0.71958
151242       2  181954241  182131382      2       1  323       1.9995      0.02278
5136         2  182140035  182522845      2       1  322      0.10145       0.4596
91752        2  184598366  184939487      1       1  322      -0.1789      0.57099
401024       2  185738628  185833290      2       1  323      -1.1147      0.86752
3685         2  186590063  186680902      1       1  322       1.2995     0.096888
6775         2  191029576  191246172      1       1  320        2.588    0.0048271
23671        2  191949046  192194940      1       1  322     -0.61511      0.73076
80055        2  196833004  196926995      1       1  318      0.61457      0.26942
91526        2  196962617  197310797      1       1  321       1.6856     0.045939
130132       2  197570800  197676045      1       1  318       -1.012      0.84422
4709         2  201071739  201085750      1       1  321     0.049827      0.48013
130540       2  201288271  201357398      1       1  320     -0.77534      0.78093
66008        2  201377207  201451596      1       1  323     -0.60328      0.72684
151254       2  201487421  201619183      1       1  323       1.9914     0.023218
130026       2  202773150  202871985      1       1  320       2.7807    0.0027123
79800        2  202912218  202987857      1       1  322       1.6159     0.053054
117583       2  204545793  205620162      6       4  320      0.55841      0.28828
4719         2  206123079  206159519      1       1  322       -1.083      0.86059
389072       2  207821288  208040372      2       1  323      0.53537       0.2962
285175       2  209771993  209999300      1       1  317        1.458     0.072427
2066         2  211375717  212539155      4       2  321      0.75606      0.22481
22807        2  212999684  213154266      2       1  319      0.78981      0.21482
100130451    2  213276553  213284205      1       1  323      -1.3567      0.91256
