FID	IID	caffeine_consumption
HG02409	HG02409	52.121
HG02419	HG02419	65.609
HG02462	HG02462	66.613
HG02464	HG02464	81.089
HG02497	HG02497	53.421
HG02513	HG02513	53.291
HG02521	HG02521	50.405
HG02558	HG02558	60.882
HG02561	HG02561	49.197
HG02574	HG02574	56.5
HG02580	HG02580	53.127
HG02585	HG02585	71.459
HG02595	HG02595	46.314
HG02603	HG02603	36.882
HG02611	HG02611	63.823
HG02629	HG02629	54.631
HG02651	HG02651	48.458
HG02661	HG02661	63.97
HG02682	HG02682	52.644
HG02688	HG02688	31.833
HG02690	HG02690	49.049
HG02699	HG02699	36.966
HG02722	HG02722	57.492
HG02760	HG02760	57.787
HG02768	HG02768	63.221
HG02771	HG02771	65.467
HG02792	HG02792	34.813
HG02798	HG02798	57.207
HG02811	HG02811	68.586
HG02814	HG02814	63.573
HG02840	HG02840	67.295
HG02870	HG02870	46.533
HG02881	HG02881	62.89
HG02970	HG02970	54.029
HG02973	HG02973	54.968
HG03009	HG03009	49.314
HG03046	HG03046	75.54
HG03055	HG03055	76.617
HG03074	HG03074	70.688
HG03091	HG03091	44.947
HG03105	HG03105	67.75
HG03127	HG03127	56.03
HG03193	HG03193	63.575
HG03196	HG03196	49.49
HG03224	HG03224	59.408
HG03237	HG03237	50.632
HG03241	HG03241	63.399
HG03247	HG03247	55.19
HG03258	HG03258	55.21
HG03259	HG03259	49.575
HG03267	HG03267	57.35
HG03351	HG03351	69.289
HG03352	HG03352	68.515
HG03354	HG03354	51.185
HG03366	HG03366	73.279
HG03367	HG03367	62.021
HG03380	HG03380	74.064
HG03419	HG03419	66.829
HG03449	HG03449	80.587
HG03451	HG03451	54.113
HG03458	HG03458	57.761
HG03490	HG03490	59.966
HG03491	HG03491	30.069
HG03511	HG03511	63.569
HG03556	HG03556	61.421
HG03563	HG03563	39.933
HG03598	HG03598	42.744
HG03603	HG03603	49.242
HG03607	HG03607	41.667
HG03636	HG03636	48.004
HG03684	HG03684	57.259
HG03686	HG03686	51.071
HG03690	HG03690	62.051
HG03731	HG03731	36.771
HG03740	HG03740	52.214
HG03755	HG03755	50.817
HG03800	HG03800	57.801
HG03815	HG03815	37.753
HG03832	HG03832	30.913
HG03837	HG03837	60.314
HG03850	HG03850	61.609
HG03871	HG03871	65.311
HG03873	HG03873	46.314
HG03897	HG03897	55.176
HG03905	HG03905	49.4
HG03922	HG03922	52.829
HG03937	HG03937	60.071
HG03948	HG03948	49.093
HG03973	HG03973	42.013
HG03974	HG03974	41.835
HG04003	HG04003	40.163
HG04054	HG04054	41.401
HG04059	HG04059	50.391
HG04063	HG04063	49.279
HG04096	HG04096	49.758
HG04099	HG04099	55.668
HG04140	HG04140	27.428
HG04171	HG04171	33.995
HG04209	HG04209	42.94
HG04210	HG04210	41.155
HG04229	HG04229	45.949
HG04239	HG04239	36.655
NA07347	NA07347	38.502
NA11918	NA11918	60.671
NA11919	NA11919	48.571
NA12045	NA12045	52.245
NA12273	NA12273	62.193
NA12342	NA12342	43.942
NA12414	NA12414	27.085
NA12546	NA12546	55.656
NA12760	NA12760	68.196
NA12878	NA12878	37.688
NA18516	NA18516	43.148
NA18517	NA18517	70.576
NA18525	NA18525	57.788
NA18541	NA18541	75.121
NA18557	NA18557	40.543
NA18560	NA18560	65.799
NA18565	NA18565	43.616
NA18573	NA18573	78.234
NA18616	NA18616	59.58
NA18623	NA18623	54.167
NA18631	NA18631	81.089
NA18740	NA18740	93.595
NA18861	NA18861	90.848
NA18865	NA18865	71.424
NA18873	NA18873	58.856
NA18916	NA18916	60.738
NA18960	NA18960	54.375
NA18966	NA18966	32.858
NA18975	NA18975	79.026
NA18976	NA18976	48.961
NA18978	NA18978	61.61
NA18990	NA18990	46.718
NA19037	NA19037	55.378
NA19059	NA19059	65.35
NA19060	NA19060	54.131
NA19063	NA19063	60.127
NA19076	NA19076	42.979
NA19086	NA19086	45.983
NA19087	NA19087	42.487
NA19096	NA19096	54.642
NA19113	NA19113	47.239
NA19118	NA19118	48.528
NA19185	NA19185	68.275
NA19209	NA19209	63.572
NA19238	NA19238	46.283
NA19239	NA19239	60.928
NA19240	NA19240	70.501
NA19314	NA19314	55.663
NA19317	NA19317	52.541
NA19321	NA19321	45.912
NA19379	NA19379	30.169
NA19384	NA19384	59.715
NA19390	NA19390	58.759
NA19397	NA19397	24.191
NA19399	NA19399	33.559
NA19404	NA19404	48.541
NA19446	NA19446	71.204
NA19451	NA19451	54.383
NA19466	NA19466	65.23
NA19655	NA19655	38.32
NA19657	NA19657	61.32
NA19660	NA19660	51.979
NA19661	NA19661	71.127
NA19670	NA19670	44.921
NA19675	NA19675	45.492
NA19678	NA19678	44.112
NA19679	NA19679	43.581
NA19685	NA19685	69.22
NA19701	NA19701	61.729
NA19720	NA19720	52.765
NA19756	NA19756	67.665
NA19761	NA19761	34.309
NA19764	NA19764	49.373
NA19786	NA19786	67.579
NA20318	NA20318	40.736
NA20351	NA20351	80.886
NA20517	NA20517	54.821
NA20518	NA20518	45.672
NA20529	NA20529	71.959
NA20581	NA20581	49.895
NA20587	NA20587	43.26
NA20757	NA20757	45.704
NA20798	NA20798	41.459
NA20799	NA20799	61.08
NA20810	NA20810	64.711
NA20826	NA20826	55.746
NA20851	NA20851	37.87
NA20858	NA20858	62.75
NA20864	NA20864	41.819
NA20869	NA20869	56.681
NA20877	NA20877	56.337
NA20882	NA20882	36.244
NA20888	NA20888	36.002
NA20898	NA20898	45.108
NA20900	NA20900	54.138
NA20906	NA20906	58.029
NA20910	NA20910	64.668
NA21091	NA21091	77.08
NA21101	NA21101	49.94
NA21111	NA21111	54.132
NA21112	NA21112	55.717
NA21113	NA21113	51.962
NA21114	NA21114	40.718
NA21116	NA21116	46.2
NA21118	NA21118	49.379
NA21125	NA21125	32.148
NA21133	NA21133	29.404
NA21143	NA21143	42.735
