GL000009.2	56140	58376		ENSG00000278704	
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907280.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907291.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907302.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907313.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907324.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907327.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907328.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907329.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907330.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907331.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907332.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907333.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907334.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907335.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907336.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907337.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907338.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907339.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907340.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907341.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907342.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907343.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907439.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907440.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907450.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907458.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907467.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907475.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907476.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907477.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907478.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907479.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907480.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907481.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907482.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907483.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907484.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907572.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907573.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907574.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907575.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907576.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907577.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907578.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907579.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907580.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907581.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907584.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907585.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907586.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907587.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907588.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907589.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907590.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907591.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907592.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907593.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907594.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907595.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907596.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907597.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907598.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907600.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907611.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907622.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907633.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907644.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907655.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907662.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907673.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907684.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907694.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907705.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907709.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907710.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907711.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907712.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907713.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907714.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907715.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907716.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907717.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907718.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907719.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907720.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124907721.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908237.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908238.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908239.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908240.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908241.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908242.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908243.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908244.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908245.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908246.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908247.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908248.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908249.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908257.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908268.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908278.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908289.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908300.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908310.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908316.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908327.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908336.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908347.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908358.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908368.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908369.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908370.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908371.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908372.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908373.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908374.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908375.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908376.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908377.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908378.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908379.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908380.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908381.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908382.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908383.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908384.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908385.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908386.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908387.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908388.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908389.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908390.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908391.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908392.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908393.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908474.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908494.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908504.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908512.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908513.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908514.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908515.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908516.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908517.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908518.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908519.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908520.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908521.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908522.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908523.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908524.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908525.0
GL000220.1	112025	112177	RNA5-8SN5	ENSG00000274917	124908527.0
GL000220.1	149259	149348		ENSG00000273937	
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907114.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907115.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907116.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907117.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907118.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907119.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907120.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907121.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907122.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907123.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907124.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907125.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907126.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907127.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907128.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907129.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907130.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907131.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907132.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907133.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907134.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907135.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907136.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907137.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907138.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907139.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907140.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907141.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907142.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907143.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907144.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907145.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907146.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907147.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907148.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907149.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907150.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907151.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907152.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907153.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907154.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907155.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907160.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907172.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907183.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907194.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907205.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907216.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907227.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907238.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907248.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907258.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907269.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907280.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907291.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907302.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907313.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907324.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907327.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907328.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907329.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907330.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907331.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907332.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907333.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907334.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907335.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907336.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907337.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907338.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907339.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907340.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907341.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907342.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907343.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907439.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907440.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907450.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907458.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907467.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907475.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907476.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907477.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907478.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907479.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907480.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907481.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907482.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907483.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907484.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907572.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907573.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907574.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907575.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907576.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907577.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907578.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907579.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907580.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907581.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907584.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907585.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907586.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907587.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907588.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907589.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907590.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907591.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907592.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907593.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907594.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907595.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907596.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907597.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907598.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907600.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907611.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907622.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907633.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907644.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907655.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907662.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907673.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907684.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907694.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907705.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907709.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907710.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907711.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907712.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907713.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907714.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907715.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907716.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907717.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907718.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907719.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907720.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124907721.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908237.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908238.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908239.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908240.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908241.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908242.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908243.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908244.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908245.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908246.0
GL000220.1	155997	156149	5_8S_rRNA	ENSG00000273730	124908247.0
